"category","three_level_element","three_level_evidence","two_level_candidate_element","two_level_evidence","mapping_status","no_direct_equivalent","semantic_risk","required_validation"
"topology","Private L0I/L0D plus private L1 plus shared clustered L2","upstream/master:configs/ruby/MESI_Three_Level.py:39-45;85-180;196-229","Private L1I/L1D plus shared L2","40b4039:configs/ruby/MESI_Two_Level.py:38-42;69-166","collapsed","true","Cache capacity latency inclusivity and contention differ even if level labels are renamed","Match physical cache parameters and run target-depth latency tests"
"protocol composition","Three-Level L0 and L1 controllers plus shared Two-Level L2 directory and DMA","upstream/master:src/mem/protocol/MESI_Three_Level.slicc:1-9","Two-Level L1 and L2 controllers plus directory and DMA","40b4039:src/mem/protocol/MESI_Two_Level.slicc:1-7","collapsed","true","Current Three-Level build includes shared files modified by the candidate port","Hash every included SLICC blob and reproduce upstream in an isolated checkout"
"CPU prediction level L0","Cache_L1 denotes logical L0 and private physical L0","upstream/master:src/cpu/o3/locPred.hh:38-57","Cache_L1 denotes logical L0 and private physical L1","40b4039:src/cpu/o3/locPred.hh:38-57","renamed_physical_level","false","Same enum now refers to a different physical cache and latency","Directed private-cache hit and miss"
"CPU prediction level L1","Cache_L2 denotes logical L1 and private physical L1","upstream/master:src/cpu/o3/locPred.hh:38-57","Cache_L2 denotes logical L1 and shared physical L2","40b4039:src/cpu/o3/locPred.hh:38-57","renamed_physical_level","false","Private-to-shared topology change alters contention and timing","Directed shared-L2 hit and conflict"
"CPU prediction level L2","Cache_L3 denotes logical L2 and shared physical L2","upstream/master:src/cpu/o3/locPred.hh:38-57","Legacy Cache_L3 is folded to Cache_L2","40b4039:src/cpu/o3/locPred.hh:175-182;src/cpu/o3/cpu.cc:568-576","folded","true","Two old predictor outcomes can target one shared cache and change distribution","Check static dynamic and random target distributions"
"CPU prediction memory","Cache_Mem traverses L0 L1 L2 to memory","upstream/master:src/cpu/o3/lsq_unit.hh:1015-1078","Cache_Mem traverses private L1 and shared L2 to memory","40b4039:src/cpu/o3/lsq_unit.hh:1015-1078","adapted","false","One fewer cache stage changes exposure timing and side effects","Forced memory target with response-before and visibility-before orderings"
"random predictor","Four sampled cache/memory outcomes correspond to distinct targets","upstream/master:src/cpu/o3/locPred.hh:115-128","Four samples remain but folded outcomes can select the same shared L2","40b4039:src/cpu/o3/locPred.hh:115-128","distribution_changed","true","Baseline performance may change from probability skew rather than mechanism","Seeded histogram and chi-square or exact-count check"
"L0 controller states","Dedicated L0 MESI stable and transient states","upstream/master:src/mem/protocol/MESI_Three_Level-L0cache.sm:57-98","No separate L0 controller","40b4039:src/mem/protocol/MESI_Two_Level.slicc:1-7","removed","true","No state-by-state mapping preserves the private L0 hop","Model by physical private-L1 behavior rather than state renaming"
"L1 controller states","Private middle-level states include L0-invalidation transients","upstream/master:src/mem/protocol/MESI_Three_Level-L1cache.sm:68-93","CPU-facing L1 has ordinary MESI stable and transient states","40b4039:src/mem/protocol/MESI_Two_Level-L1cache.sm:80-104","restructured","true","Invalidation and transient interactions occur at different controller boundary","Safe load store eviction and transient-coherence tests"
"shared L2 states","Shared L2 includes NP SS M and coherence transients plus II for generic speculative request","upstream/master:src/mem/protocol/MESI_Two_Level-L2cache.sm:66-95","Shared L2 retains ordinary/transient states and candidate speculative routing","40b4039:src/mem/protocol/MESI_Two_Level-L2cache.sm:66-95","modified_in_place","false","Same state names do not prove unchanged actions after port commits","Transition coverage diff and directed transient tests"
"L0 request message","CoherenceMsg GETSPEC_L0 can stop at private L0","upstream/master:src/mem/protocol/MESI_Three_Level-msg.sm:29-82;src/mem/protocol/MESI_Three_Level-L0cache.sm:1089-1101","GETSPEC_L0 can stop at private physical L1","40b4039:src/mem/protocol/MESI_Two_Level-L1cache.sm:296-320;650-666","physical_level_remap","false","Callback name L0 now means the first physical cache rather than an actual L0","Private-hit data and latency check"
"L1 request message","CoherenceMsg GETSPEC_L1 passes L0 and may stop at private L1","upstream/master:src/mem/protocol/MESI_Three_Level-L0cache.sm:1103-1119;src/mem/protocol/MESI_Three_Level-L1cache.sm:1015-1027","Legacy GETSPEC_L2 passes private L1 and may stop at shared L2","40b4039:src/mem/protocol/MESI_Two_Level-L1cache.sm:668-684;src/mem/protocol/MESI_Two_Level-L2cache.sm:290-326","command_renamed","false","GETSPEC_L2 command spelling can be mistaken for old logical L2 semantics","Trace origin index and returned hit level end to end"
"L2 request message","GETSPEC_L2 passes private L0 and L1 and stops at shared L2","upstream/master:src/mem/protocol/MESI_Three_Level-L1cache.sm:485-500;1029-1045","No distinct physical target beyond shared L2","40b4039:src/cpu/o3/lsq_unit.hh:1015-1078","folded","true","Exact target-depth behavior cannot be preserved in a two-cache hierarchy","Document fold and exclude direct per-level equivalence claim"
